Anchor,Positive,Negative
dataset\big_gan\big\biggan-spectrum\401\img003379.jpg,dataset\big_gan\big\biggan-spectrum\814\img007952.jpg,dataset\coco\coco\coco2017\train_spectrum\img066205.jpg
dataset\taming_transformer\tt-cc_spectrum\839\img041117.jpg,dataset\taming_transformer\tt-cc_spectrum\25\img008430.jpg,dataset\coco\coco\coco2017\train_spectrum\img088573.jpg
dataset\taming_transformer\tt-cc_spectrum\782\img037970.jpg,dataset\big_gan\big\biggan-spectrum\17\img000794.jpg,dataset\coco\coco\coco2017\train_spectrum\img101747.jpg
dataset\taming_transformer\tt-cc_spectrum\445\img019276.jpg,dataset\latent_diffusion\latentdiff_spectrum\697\img006649.jpg,dataset\coco\coco\coco2017\train_spectrum\img122409.jpg
dataset\taming_transformer\tt-cc_spectrum\671\img031803.jpg,dataset\latent_diffusion\latentdiff_spectrum\849\img008336.jpg,dataset\coco\coco\coco2017\train_spectrum\img099808.jpg
dataset\taming_transformer\tt-cc_spectrum\269\img009490.jpg,dataset\taming_transformer\tt-cc_spectrum\375\img015352.jpg,dataset\coco\coco\coco2017\train_spectrum\img084067.jpg
dataset\big_gan\big\biggan-spectrum\795\img007735.jpg,dataset\big_gan\big\biggan-spectrum\887\img008750.jpg,dataset\coco\coco\coco2017\train_spectrum\img146447.jpg
dataset\taming_transformer\tt-cc_spectrum\934\img046412.jpg,dataset\latent_diffusion\latentdiff_spectrum\974\img009725.jpg,dataset\coco\coco\coco2017\train_spectrum\img082970.jpg
dataset\big_gan\big\biggan-spectrum\135\img000415.jpg,dataset\latent_diffusion\latentdiff_spectrum\225\img001418.jpg,dataset\coco\coco\coco2017\train_spectrum\img042073.jpg
dataset\big_gan\big\biggan-spectrum\199\img001114.jpg,dataset\taming_transformer\tt-cc_spectrum\0\img000032.jpg,dataset\coco\coco\coco2017\train_spectrum\img109081.jpg
dataset\taming_transformer\tt-cc_spectrum\141\img002424.jpg,dataset\latent_diffusion\latentdiff_spectrum\875\img008621.jpg,dataset\coco\coco\coco2017\train_spectrum\img084696.jpg
dataset\taming_transformer\tt-cc_spectrum\884\img043608.jpg,dataset\taming_transformer\tt-cc_spectrum\566\img025979.jpg,dataset\coco\coco\coco2017\train_spectrum\img062212.jpg
dataset\latent_diffusion\latentdiff_spectrum\139\img000456.jpg,dataset\latent_diffusion\latentdiff_spectrum\642\img006043.jpg,dataset\coco\coco\coco2017\train_spectrum\img077617.jpg
dataset\latent_diffusion\latentdiff_spectrum\883\img008714.jpg,dataset\big_gan\big\biggan-spectrum\319\img002451.jpg,dataset\coco\coco\coco2017\train_spectrum\img149292.jpg
dataset\big_gan\big\biggan-spectrum\995\img009957.jpg,dataset\latent_diffusion\latentdiff_spectrum\875\img008621.jpg,dataset\coco\coco\coco2017\train_spectrum\img072748.jpg
dataset\latent_diffusion\latentdiff_spectrum\183\img000942.jpg,dataset\latent_diffusion\latentdiff_spectrum\219\img001345.jpg,dataset\coco\coco\coco2017\train_spectrum\img097290.jpg
dataset\taming_transformer\tt-cc_spectrum\194\img005324.jpg,dataset\big_gan\big\biggan-spectrum\87\img008569.jpg,dataset\coco\coco\coco2017\train_spectrum\img111939.jpg
dataset\latent_diffusion\latentdiff_spectrum\280\img002025.jpg,dataset\big_gan\big\biggan-spectrum\878\img008651.jpg,dataset\coco\coco\coco2017\train_spectrum\img063110.jpg
dataset\latent_diffusion\latentdiff_spectrum\924\img009170.jpg,dataset\taming_transformer\tt-cc_spectrum\136\img002125.jpg,dataset\coco\coco\coco2017\train_spectrum\img123430.jpg
dataset\taming_transformer\tt-cc_spectrum\85\img041749.jpg,dataset\taming_transformer\tt-cc_spectrum\918\img045515.jpg,dataset\coco\coco\coco2017\train_spectrum\img114512.jpg
dataset\taming_transformer\tt-cc_spectrum\814\img039769.jpg,dataset\latent_diffusion\latentdiff_spectrum\619\img005785.jpg,dataset\coco\coco\coco2017\train_spectrum\img064421.jpg
dataset\big_gan\big\biggan-spectrum\532\img004822.jpg,dataset\taming_transformer\tt-cc_spectrum\460\img020114.jpg,dataset\coco\coco\coco2017\train_spectrum\img097285.jpg
dataset\taming_transformer\tt-cc_spectrum\853\img041932.jpg,dataset\big_gan\big\biggan-spectrum\157\img000651.jpg,dataset\coco\coco\coco2017\train_spectrum\img124213.jpg
dataset\taming_transformer\tt-cc_spectrum\721\img034622.jpg,dataset\big_gan\big\biggan-spectrum\521\img004702.jpg,dataset\coco\coco\coco2017\train_spectrum\img094525.jpg
dataset\big_gan\big\biggan-spectrum\174\img000845.jpg,dataset\taming_transformer\tt-cc_spectrum\710\img034011.jpg,dataset\coco\coco\coco2017\train_spectrum\img141794.jpg
dataset\big_gan\big\biggan-spectrum\350\img002804.jpg,dataset\taming_transformer\tt-cc_spectrum\622\img029109.jpg,dataset\coco\coco\coco2017\train_spectrum\img105128.jpg
dataset\big_gan\big\biggan-spectrum\744\img007177.jpg,dataset\taming_transformer\tt-cc_spectrum\426\img018217.jpg,dataset\coco\coco\coco2017\train_spectrum\img060348.jpg
dataset\big_gan\big\biggan-spectrum\463\img004053.jpg,dataset\big_gan\big\biggan-spectrum\171\img000816.jpg,dataset\coco\coco\coco2017\train_spectrum\img068753.jpg
dataset\latent_diffusion\latentdiff_spectrum\458\img003999.jpg,dataset\latent_diffusion\latentdiff_spectrum\642\img006040.jpg,dataset\coco\coco\coco2017\train_spectrum\img138006.jpg
dataset\latent_diffusion\latentdiff_spectrum\166\img000752.jpg,dataset\latent_diffusion\latentdiff_spectrum\625\img005850.jpg,dataset\coco\coco\coco2017\train_spectrum\img123472.jpg
dataset\latent_diffusion\latentdiff_spectrum\753\img007276.jpg,dataset\big_gan\big\biggan-spectrum\262\img001820.jpg,dataset\coco\coco\coco2017\train_spectrum\img103576.jpg
dataset\latent_diffusion\latentdiff_spectrum\86\img008459.jpg,dataset\big_gan\big\biggan-spectrum\304\img002297.jpg,dataset\coco\coco\coco2017\train_spectrum\img046608.jpg
dataset\latent_diffusion\latentdiff_spectrum\25\img001680.jpg,dataset\big_gan\big\biggan-spectrum\165\img000746.jpg,dataset\coco\coco\coco2017\train_spectrum\img132926.jpg
