Anchor,Positive,Negative
dataset\coco\coco\coco2017\train_spectrum\img077130.jpg,dataset\coco\coco\coco2017\train_spectrum\img070082.jpg,dataset\big_gan\big\biggan-spectrum\452\img003931.jpg
dataset\coco\coco\coco2017\train_spectrum\img143776.jpg,dataset\coco\coco\coco2017\train_spectrum\img153377.jpg,dataset\taming_transformer\tt-cc_spectrum\339\img013368.jpg
dataset\coco\coco\coco2017\train_spectrum\img115735.jpg,dataset\coco\coco\coco2017\train_spectrum\img144700.jpg,dataset\taming_transformer\tt-cc_spectrum\102\img000298.jpg
dataset\coco\coco\coco2017\train_spectrum\img150953.jpg,dataset\coco\coco\coco2017\train_spectrum\img082328.jpg,dataset\big_gan\big\biggan-spectrum\513\img004613.jpg
dataset\coco\coco\coco2017\train_spectrum\img084804.jpg,dataset\coco\coco\coco2017\train_spectrum\img117854.jpg,dataset\taming_transformer\tt-cc_spectrum\928\img046080.jpg
dataset\coco\coco\coco2017\train_spectrum\img046751.jpg,dataset\coco\coco\coco2017\train_spectrum\img119410.jpg,dataset\big_gan\big\biggan-spectrum\603\img005617.jpg
dataset\coco\coco\coco2017\train_spectrum\img126090.jpg,dataset\coco\coco\coco2017\train_spectrum\img150620.jpg,dataset\taming_transformer\tt-cc_spectrum\158\img003347.jpg
dataset\coco\coco\coco2017\train_spectrum\img105208.jpg,dataset\coco\coco\coco2017\train_spectrum\img056956.jpg,dataset\latent_diffusion\latentdiff_spectrum\797\img007756.jpg
dataset\coco\coco\coco2017\train_spectrum\img041777.jpg,dataset\coco\coco\coco2017\train_spectrum\img133163.jpg,dataset\latent_diffusion\latentdiff_spectrum\374\img003069.jpg
dataset\coco\coco\coco2017\train_spectrum\img109844.jpg,dataset\coco\coco\coco2017\train_spectrum\img100523.jpg,dataset\big_gan\big\biggan-spectrum\795\img007733.jpg
dataset\coco\coco\coco2017\train_spectrum\img125814.jpg,dataset\coco\coco\coco2017\train_spectrum\img054093.jpg,dataset\latent_diffusion\latentdiff_spectrum\76\img007343.jpg
dataset\coco\coco\coco2017\train_spectrum\img120693.jpg,dataset\coco\coco\coco2017\train_spectrum\img050388.jpg,dataset\taming_transformer\tt-cc_spectrum\293\img010824.jpg
dataset\coco\coco\coco2017\train_spectrum\img148622.jpg,dataset\coco\coco\coco2017\train_spectrum\img048078.jpg,dataset\big_gan\big\biggan-spectrum\214\img001293.jpg
dataset\coco\coco\coco2017\train_spectrum\img047867.jpg,dataset\coco\coco\coco2017\train_spectrum\img130782.jpg,dataset\latent_diffusion\latentdiff_spectrum\674\img006398.jpg
dataset\coco\coco\coco2017\train_spectrum\img139951.jpg,dataset\coco\coco\coco2017\train_spectrum\img142111.jpg,dataset\taming_transformer\tt-cc_spectrum\715\img034289.jpg
