Anchor,Positive,Negative
dataset\taming_transformer\tt-coco_spectrum\img002659.jpg,dataset\taming_transformer\tt-coco_spectrum\img004053.jpg,dataset\big_gan\big\biggan-spectrum\854\img008393.jpg
dataset\taming_transformer\tt-coco_spectrum\img002303.jpg,dataset\taming_transformer\tt-coco_spectrum\img003296.jpg,dataset\big_gan\big\biggan-spectrum\123\img000285.jpg
dataset\big_gan\big\biggan-spectrum\439\img003787.jpg,dataset\big_gan\big\biggan-spectrum\770\img007464.jpg,dataset\taming_transformer\tt-coco_spectrum\img001180.jpg
dataset\taming_transformer\tt-coco_spectrum\img004539.jpg,dataset\taming_transformer\tt-coco_spectrum\img003490.jpg,dataset\big_gan\big\biggan-spectrum\819\img008005.jpg
dataset\taming_transformer\tt-coco_spectrum\img002283.jpg,dataset\taming_transformer\tt-coco_spectrum\img003077.jpg,dataset\big_gan\big\biggan-spectrum\693\img006601.jpg
dataset\big_gan\big\biggan-spectrum\451\img003927.jpg,dataset\big_gan\big\biggan-spectrum\393\img003274.jpg,dataset\taming_transformer\tt-coco_spectrum\img000616.jpg
dataset\big_gan\big\biggan-spectrum\148\img000550.jpg,dataset\big_gan\big\biggan-spectrum\511\img004599.jpg,dataset\taming_transformer\tt-coco_spectrum\img003649.jpg
dataset\big_gan\big\biggan-spectrum\238\img001554.jpg,dataset\big_gan\big\biggan-spectrum\752\img007262.jpg,dataset\taming_transformer\tt-coco_spectrum\img000039.jpg
dataset\big_gan\big\biggan-spectrum\565\img005186.jpg,dataset\big_gan\big\biggan-spectrum\287\img002099.jpg,dataset\taming_transformer\tt-coco_spectrum\img000145.jpg
dataset\taming_transformer\tt-coco_spectrum\img000963.jpg,dataset\taming_transformer\tt-coco_spectrum\img003330.jpg,dataset\big_gan\big\biggan-spectrum\708\img006774.jpg
dataset\big_gan\big\biggan-spectrum\819\img008002.jpg,dataset\big_gan\big\biggan-spectrum\24\img001571.jpg,dataset\taming_transformer\tt-coco_spectrum\img000680.jpg
dataset\big_gan\big\biggan-spectrum\242\img001605.jpg,dataset\big_gan\big\biggan-spectrum\471\img004146.jpg,dataset\taming_transformer\tt-coco_spectrum\img004336.jpg
dataset\big_gan\big\biggan-spectrum\769\img007446.jpg,dataset\big_gan\big\biggan-spectrum\470\img004136.jpg,dataset\taming_transformer\tt-coco_spectrum\img003608.jpg
dataset\big_gan\big\biggan-spectrum\9\img008898.jpg,dataset\big_gan\big\biggan-spectrum\558\img005104.jpg,dataset\taming_transformer\tt-coco_spectrum\img004280.jpg
dataset\big_gan\big\biggan-spectrum\222\img001381.jpg,dataset\big_gan\big\biggan-spectrum\105\img000082.jpg,dataset\taming_transformer\tt-coco_spectrum\img002493.jpg
dataset\big_gan\big\biggan-spectrum\930\img009243.jpg,dataset\big_gan\big\biggan-spectrum\41\img003462.jpg,dataset\taming_transformer\tt-coco_spectrum\img001004.jpg
dataset\taming_transformer\tt-coco_spectrum\img001973.jpg,dataset\taming_transformer\tt-coco_spectrum\img000192.jpg,dataset\big_gan\big\biggan-spectrum\21\img001242.jpg
dataset\big_gan\big\biggan-spectrum\272\img001936.jpg,dataset\big_gan\big\biggan-spectrum\92\img009127.jpg,dataset\taming_transformer\tt-coco_spectrum\img001369.jpg
dataset\big_gan\big\biggan-spectrum\610\img005692.jpg,dataset\big_gan\big\biggan-spectrum\689\img006552.jpg,dataset\taming_transformer\tt-coco_spectrum\img000109.jpg
dataset\taming_transformer\tt-coco_spectrum\img001252.jpg,dataset\taming_transformer\tt-coco_spectrum\img002120.jpg,dataset\big_gan\big\biggan-spectrum\507\img004543.jpg
dataset\big_gan\big\biggan-spectrum\751\img007253.jpg,dataset\big_gan\big\biggan-spectrum\254\img001733.jpg,dataset\taming_transformer\tt-coco_spectrum\img001644.jpg
dataset\big_gan\big\biggan-spectrum\640\img006021.jpg,dataset\big_gan\big\biggan-spectrum\616\img005756.jpg,dataset\taming_transformer\tt-coco_spectrum\img004141.jpg
dataset\taming_transformer\tt-coco_spectrum\img002861.jpg,dataset\taming_transformer\tt-coco_spectrum\img002880.jpg,dataset\big_gan\big\biggan-spectrum\260\img001801.jpg
dataset\big_gan\big\biggan-spectrum\64\img006015.jpg,dataset\big_gan\big\biggan-spectrum\246\img001646.jpg,dataset\taming_transformer\tt-coco_spectrum\img002025.jpg
dataset\big_gan\big\biggan-spectrum\300\img002253.jpg,dataset\big_gan\big\biggan-spectrum\3\img002235.jpg,dataset\taming_transformer\tt-coco_spectrum\img004126.jpg
dataset\big_gan\big\biggan-spectrum\923\img009162.jpg,dataset\big_gan\big\biggan-spectrum\662\img006261.jpg,dataset\taming_transformer\tt-coco_spectrum\img000480.jpg
dataset\taming_transformer\tt-coco_spectrum\img001078.jpg,dataset\taming_transformer\tt-coco_spectrum\img000539.jpg,dataset\big_gan\big\biggan-spectrum\421\img003594.jpg
dataset\taming_transformer\tt-coco_spectrum\img002076.jpg,dataset\taming_transformer\tt-coco_spectrum\img002415.jpg,dataset\big_gan\big\biggan-spectrum\447\img003874.jpg
dataset\taming_transformer\tt-coco_spectrum\img001426.jpg,dataset\taming_transformer\tt-coco_spectrum\img001685.jpg,dataset\big_gan\big\biggan-spectrum\515\img004638.jpg
dataset\taming_transformer\tt-coco_spectrum\img003326.jpg,dataset\taming_transformer\tt-coco_spectrum\img001357.jpg,dataset\big_gan\big\biggan-spectrum\127\img000323.jpg
dataset\big_gan\big\biggan-spectrum\166\img000750.jpg,dataset\big_gan\big\biggan-spectrum\777\img007535.jpg,dataset\taming_transformer\tt-coco_spectrum\img001036.jpg
dataset\big_gan\big\biggan-spectrum\893\img008824.jpg,dataset\big_gan\big\biggan-spectrum\263\img001835.jpg,dataset\taming_transformer\tt-coco_spectrum\img000731.jpg
dataset\big_gan\big\biggan-spectrum\66\img006233.jpg,dataset\big_gan\big\biggan-spectrum\789\img007661.jpg,dataset\taming_transformer\tt-coco_spectrum\img003436.jpg
dataset\big_gan\big\biggan-spectrum\345\img002749.jpg,dataset\big_gan\big\biggan-spectrum\723\img006945.jpg,dataset\taming_transformer\tt-coco_spectrum\img000761.jpg
dataset\taming_transformer\tt-coco_spectrum\img003727.jpg,dataset\taming_transformer\tt-coco_spectrum\img001910.jpg,dataset\big_gan\big\biggan-spectrum\520\img004698.jpg
dataset\taming_transformer\tt-coco_spectrum\img004730.jpg,dataset\taming_transformer\tt-coco_spectrum\img004116.jpg,dataset\big_gan\big\biggan-spectrum\548\img004999.jpg
dataset\taming_transformer\tt-coco_spectrum\img004335.jpg,dataset\taming_transformer\tt-coco_spectrum\img001343.jpg,dataset\big_gan\big\biggan-spectrum\135\img000419.jpg
dataset\big_gan\big\biggan-spectrum\729\img007000.jpg,dataset\big_gan\big\biggan-spectrum\833\img008162.jpg,dataset\taming_transformer\tt-coco_spectrum\img000988.jpg
dataset\taming_transformer\tt-coco_spectrum\img002658.jpg,dataset\taming_transformer\tt-coco_spectrum\img002033.jpg,dataset\big_gan\big\biggan-spectrum\370\img003027.jpg
dataset\taming_transformer\tt-coco_spectrum\img003112.jpg,dataset\taming_transformer\tt-coco_spectrum\img001535.jpg,dataset\big_gan\big\biggan-spectrum\549\img005005.jpg
dataset\taming_transformer\tt-coco_spectrum\img002092.jpg,dataset\taming_transformer\tt-coco_spectrum\img002772.jpg,dataset\big_gan\big\biggan-spectrum\246\img001644.jpg
dataset\big_gan\big\biggan-spectrum\585\img005408.jpg,dataset\big_gan\big\biggan-spectrum\919\img009118.jpg,dataset\taming_transformer\tt-coco_spectrum\img004669.jpg
dataset\big_gan\big\biggan-spectrum\138\img000440.jpg,dataset\big_gan\big\biggan-spectrum\68\img006457.jpg,dataset\taming_transformer\tt-coco_spectrum\img001448.jpg
dataset\big_gan\big\biggan-spectrum\333\img002615.jpg,dataset\big_gan\big\biggan-spectrum\141\img000487.jpg,dataset\taming_transformer\tt-coco_spectrum\img004556.jpg
dataset\taming_transformer\tt-coco_spectrum\img002497.jpg,dataset\taming_transformer\tt-coco_spectrum\img001007.jpg,dataset\big_gan\big\biggan-spectrum\204\img001182.jpg
dataset\big_gan\big\biggan-spectrum\718\img006888.jpg,dataset\big_gan\big\biggan-spectrum\797\img007751.jpg,dataset\taming_transformer\tt-coco_spectrum\img000199.jpg
dataset\big_gan\big\biggan-spectrum\626\img005865.jpg,dataset\big_gan\big\biggan-spectrum\519\img004671.jpg,dataset\taming_transformer\tt-coco_spectrum\img002705.jpg
dataset\big_gan\big\biggan-spectrum\633\img005949.jpg,dataset\big_gan\big\biggan-spectrum\281\img002035.jpg,dataset\taming_transformer\tt-coco_spectrum\img002648.jpg
dataset\taming_transformer\tt-coco_spectrum\img003210.jpg,dataset\taming_transformer\tt-coco_spectrum\img001853.jpg,dataset\big_gan\big\biggan-spectrum\565\img005181.jpg
dataset\big_gan\big\biggan-spectrum\458\img003993.jpg,dataset\big_gan\big\biggan-spectrum\695\img006628.jpg,dataset\taming_transformer\tt-coco_spectrum\img002309.jpg
dataset\taming_transformer\tt-coco_spectrum\img002036.jpg,dataset\taming_transformer\tt-coco_spectrum\img003819.jpg,dataset\big_gan\big\biggan-spectrum\685\img006513.jpg
dataset\big_gan\big\biggan-spectrum\222\img001388.jpg,dataset\big_gan\big\biggan-spectrum\753\img007270.jpg,dataset\taming_transformer\tt-coco_spectrum\img001731.jpg
dataset\taming_transformer\tt-coco_spectrum\img002547.jpg,dataset\taming_transformer\tt-coco_spectrum\img002212.jpg,dataset\big_gan\big\biggan-spectrum\666\img006305.jpg
dataset\big_gan\big\biggan-spectrum\58\img005344.jpg,dataset\big_gan\big\biggan-spectrum\815\img007964.jpg,dataset\taming_transformer\tt-coco_spectrum\img002599.jpg
