Anchor,Positive,Negative
dataset\big_gan\big\biggan-spectrum\674\img006391.jpg,dataset\big_gan\big\biggan-spectrum\964\img009611.jpg,dataset\coco\coco\coco2017\train_spectrum\img090030.jpg
dataset\coco\coco\coco2017\train_spectrum\img042253.jpg,dataset\coco\coco\coco2017\train_spectrum\img135656.jpg,dataset\big_gan\big\biggan-spectrum\187\img000984.jpg
dataset\big_gan\big\biggan-spectrum\118\img000221.jpg,dataset\big_gan\big\biggan-spectrum\525\img004746.jpg,dataset\coco\coco\coco2017\train_spectrum\img045227.jpg
dataset\big_gan\big\biggan-spectrum\561\img005145.jpg,dataset\big_gan\big\biggan-spectrum\612\img005710.jpg,dataset\coco\coco\coco2017\train_spectrum\img074756.jpg
dataset\big_gan\big\biggan-spectrum\858\img008436.jpg,dataset\big_gan\big\biggan-spectrum\631\img005923.jpg,dataset\coco\coco\coco2017\train_spectrum\img141479.jpg
dataset\big_gan\big\biggan-spectrum\953\img009494.jpg,dataset\big_gan\big\biggan-spectrum\829\img008114.jpg,dataset\coco\coco\coco2017\train_spectrum\img106567.jpg
dataset\coco\coco\coco2017\train_spectrum\img128000.jpg,dataset\coco\coco\coco2017\train_spectrum\img121403.jpg,dataset\big_gan\big\biggan-spectrum\689\img006554.jpg
dataset\big_gan\big\biggan-spectrum\100\img000036.jpg,dataset\big_gan\big\biggan-spectrum\69\img006561.jpg,dataset\coco\coco\coco2017\train_spectrum\img122553.jpg
dataset\big_gan\big\biggan-spectrum\761\img007369.jpg,dataset\big_gan\big\biggan-spectrum\980\img009798.jpg,dataset\coco\coco\coco2017\train_spectrum\img153357.jpg
dataset\big_gan\big\biggan-spectrum\515\img004634.jpg,dataset\big_gan\big\biggan-spectrum\749\img007221.jpg,dataset\coco\coco\coco2017\train_spectrum\img107574.jpg
dataset\coco\coco\coco2017\train_spectrum\img130772.jpg,dataset\coco\coco\coco2017\train_spectrum\img081968.jpg,dataset\big_gan\big\biggan-spectrum\332\img002606.jpg
dataset\big_gan\big\biggan-spectrum\370\img003024.jpg,dataset\big_gan\big\biggan-spectrum\672\img006371.jpg,dataset\coco\coco\coco2017\train_spectrum\img101401.jpg
dataset\big_gan\big\biggan-spectrum\489\img004337.jpg,dataset\big_gan\big\biggan-spectrum\359\img002897.jpg,dataset\coco\coco\coco2017\train_spectrum\img044763.jpg
dataset\big_gan\big\biggan-spectrum\237\img001543.jpg,dataset\big_gan\big\biggan-spectrum\826\img008081.jpg,dataset\coco\coco\coco2017\train_spectrum\img120455.jpg
dataset\coco\coco\coco2017\train_spectrum\img151599.jpg,dataset\coco\coco\coco2017\train_spectrum\img111619.jpg,dataset\big_gan\big\biggan-spectrum\133\img000396.jpg
dataset\big_gan\big\biggan-spectrum\207\img001216.jpg,dataset\big_gan\big\biggan-spectrum\185\img000967.jpg,dataset\coco\coco\coco2017\train_spectrum\img108432.jpg
dataset\big_gan\big\biggan-spectrum\651\img006145.jpg,dataset\big_gan\big\biggan-spectrum\128\img000336.jpg,dataset\coco\coco\coco2017\train_spectrum\img153773.jpg
dataset\big_gan\big\biggan-spectrum\737\img007092.jpg,dataset\big_gan\big\biggan-spectrum\947\img009428.jpg,dataset\coco\coco\coco2017\train_spectrum\img135427.jpg
dataset\big_gan\big\biggan-spectrum\391\img003255.jpg,dataset\big_gan\big\biggan-spectrum\414\img003516.jpg,dataset\coco\coco\coco2017\train_spectrum\img054501.jpg
dataset\coco\coco\coco2017\train_spectrum\img141151.jpg,dataset\coco\coco\coco2017\train_spectrum\img046156.jpg,dataset\big_gan\big\biggan-spectrum\929\img009222.jpg
dataset\big_gan\big\biggan-spectrum\849\img008339.jpg,dataset\big_gan\big\biggan-spectrum\541\img004925.jpg,dataset\coco\coco\coco2017\train_spectrum\img117647.jpg
dataset\big_gan\big\biggan-spectrum\621\img005812.jpg,dataset\big_gan\big\biggan-spectrum\943\img009387.jpg,dataset\coco\coco\coco2017\train_spectrum\img071445.jpg
dataset\coco\coco\coco2017\train_spectrum\img158201.jpg,dataset\coco\coco\coco2017\train_spectrum\img138776.jpg,dataset\big_gan\big\biggan-spectrum\114\img000186.jpg
dataset\big_gan\big\biggan-spectrum\110\img000140.jpg,dataset\big_gan\big\biggan-spectrum\166\img000751.jpg,dataset\coco\coco\coco2017\train_spectrum\img123099.jpg
dataset\coco\coco\coco2017\train_spectrum\img101622.jpg,dataset\coco\coco\coco2017\train_spectrum\img073349.jpg,dataset\big_gan\big\biggan-spectrum\259\img001787.jpg
dataset\big_gan\big\biggan-spectrum\244\img001622.jpg,dataset\big_gan\big\biggan-spectrum\566\img005195.jpg,dataset\coco\coco\coco2017\train_spectrum\img131269.jpg
dataset\coco\coco\coco2017\train_spectrum\img158228.jpg,dataset\coco\coco\coco2017\train_spectrum\img125282.jpg,dataset\big_gan\big\biggan-spectrum\336\img002648.jpg
dataset\coco\coco\coco2017\train_spectrum\img067997.jpg,dataset\coco\coco\coco2017\train_spectrum\img068789.jpg,dataset\big_gan\big\biggan-spectrum\196\img001086.jpg
dataset\coco\coco\coco2017\train_spectrum\img093639.jpg,dataset\coco\coco\coco2017\train_spectrum\img123249.jpg,dataset\big_gan\big\biggan-spectrum\593\img005496.jpg
dataset\big_gan\big\biggan-spectrum\199\img001115.jpg,dataset\big_gan\big\biggan-spectrum\498\img004437.jpg,dataset\coco\coco\coco2017\train_spectrum\img049188.jpg
dataset\big_gan\big\biggan-spectrum\860\img008466.jpg,dataset\big_gan\big\biggan-spectrum\412\img003493.jpg,dataset\coco\coco\coco2017\train_spectrum\img131535.jpg
dataset\coco\coco\coco2017\train_spectrum\img087016.jpg,dataset\coco\coco\coco2017\train_spectrum\img106261.jpg,dataset\big_gan\big\biggan-spectrum\746\img007192.jpg
dataset\big_gan\big\biggan-spectrum\150\img000588.jpg,dataset\big_gan\big\biggan-spectrum\802\img007820.jpg,dataset\coco\coco\coco2017\train_spectrum\img067839.jpg
dataset\big_gan\big\biggan-spectrum\428\img003665.jpg,dataset\big_gan\big\biggan-spectrum\878\img008655.jpg,dataset\coco\coco\coco2017\train_spectrum\img139010.jpg
dataset\coco\coco\coco2017\train_spectrum\img053719.jpg,dataset\coco\coco\coco2017\train_spectrum\img141279.jpg,dataset\big_gan\big\biggan-spectrum\898\img008872.jpg
dataset\coco\coco\coco2017\train_spectrum\img054934.jpg,dataset\coco\coco\coco2017\train_spectrum\img155244.jpg,dataset\big_gan\big\biggan-spectrum\680\img006462.jpg
dataset\big_gan\big\biggan-spectrum\400\img003369.jpg,dataset\big_gan\big\biggan-spectrum\327\img002540.jpg,dataset\coco\coco\coco2017\train_spectrum\img107280.jpg
dataset\coco\coco\coco2017\train_spectrum\img121990.jpg,dataset\coco\coco\coco2017\train_spectrum\img041466.jpg,dataset\big_gan\big\biggan-spectrum\154\img000621.jpg
dataset\coco\coco\coco2017\train_spectrum\img128961.jpg,dataset\coco\coco\coco2017\train_spectrum\img069839.jpg,dataset\big_gan\big\biggan-spectrum\584\img005393.jpg
dataset\coco\coco\coco2017\train_spectrum\img070609.jpg,dataset\coco\coco\coco2017\train_spectrum\img079719.jpg,dataset\big_gan\big\biggan-spectrum\88\img008670.jpg
dataset\big_gan\big\biggan-spectrum\370\img003023.jpg,dataset\big_gan\big\biggan-spectrum\25\img001687.jpg,dataset\coco\coco\coco2017\train_spectrum\img081362.jpg
dataset\coco\coco\coco2017\train_spectrum\img121253.jpg,dataset\coco\coco\coco2017\train_spectrum\img067608.jpg,dataset\big_gan\big\biggan-spectrum\158\img000660.jpg
dataset\big_gan\big\biggan-spectrum\546\img004977.jpg,dataset\big_gan\big\biggan-spectrum\160\img000692.jpg,dataset\coco\coco\coco2017\train_spectrum\img082645.jpg
dataset\big_gan\big\biggan-spectrum\626\img005868.jpg,dataset\big_gan\big\biggan-spectrum\611\img005702.jpg,dataset\coco\coco\coco2017\train_spectrum\img119026.jpg
dataset\coco\coco\coco2017\train_spectrum\img093667.jpg,dataset\coco\coco\coco2017\train_spectrum\img130202.jpg,dataset\big_gan\big\biggan-spectrum\582\img005376.jpg
dataset\coco\coco\coco2017\train_spectrum\img063415.jpg,dataset\coco\coco\coco2017\train_spectrum\img063235.jpg,dataset\big_gan\big\biggan-spectrum\861\img008477.jpg
dataset\big_gan\big\biggan-spectrum\234\img001515.jpg,dataset\big_gan\big\biggan-spectrum\939\img009339.jpg,dataset\coco\coco\coco2017\train_spectrum\img140083.jpg
dataset\big_gan\big\biggan-spectrum\784\img007616.jpg,dataset\big_gan\big\biggan-spectrum\304\img002291.jpg,dataset\coco\coco\coco2017\train_spectrum\img104503.jpg
dataset\big_gan\big\biggan-spectrum\664\img006286.jpg,dataset\big_gan\big\biggan-spectrum\910\img009020.jpg,dataset\coco\coco\coco2017\train_spectrum\img097571.jpg
dataset\big_gan\big\biggan-spectrum\421\img003598.jpg,dataset\big_gan\big\biggan-spectrum\948\img009439.jpg,dataset\coco\coco\coco2017\train_spectrum\img070944.jpg
dataset\coco\coco\coco2017\train_spectrum\img114180.jpg,dataset\coco\coco\coco2017\train_spectrum\img066723.jpg,dataset\big_gan\big\biggan-spectrum\217\img001321.jpg
dataset\coco\coco\coco2017\train_spectrum\img103811.jpg,dataset\coco\coco\coco2017\train_spectrum\img151242.jpg,dataset\big_gan\big\biggan-spectrum\140\img000478.jpg
dataset\big_gan\big\biggan-spectrum\281\img002037.jpg,dataset\big_gan\big\biggan-spectrum\786\img007631.jpg,dataset\coco\coco\coco2017\train_spectrum\img128497.jpg
dataset\coco\coco\coco2017\train_spectrum\img085936.jpg,dataset\coco\coco\coco2017\train_spectrum\img061790.jpg,dataset\big_gan\big\biggan-spectrum\861\img008479.jpg
dataset\coco\coco\coco2017\train_spectrum\img054286.jpg,dataset\coco\coco\coco2017\train_spectrum\img048540.jpg,dataset\big_gan\big\biggan-spectrum\105\img000083.jpg
dataset\big_gan\big\biggan-spectrum\188\img000996.jpg,dataset\big_gan\big\biggan-spectrum\362\img002935.jpg,dataset\coco\coco\coco2017\train_spectrum\img136639.jpg
dataset\big_gan\big\biggan-spectrum\494\img004393.jpg,dataset\big_gan\big\biggan-spectrum\893\img008823.jpg,dataset\coco\coco\coco2017\train_spectrum\img145768.jpg
dataset\big_gan\big\biggan-spectrum\264\img001843.jpg,dataset\big_gan\big\biggan-spectrum\387\img003209.jpg,dataset\coco\coco\coco2017\train_spectrum\img119206.jpg
dataset\coco\coco\coco2017\train_spectrum\img108594.jpg,dataset\coco\coco\coco2017\train_spectrum\img106949.jpg,dataset\big_gan\big\biggan-spectrum\269\img001893.jpg
dataset\big_gan\big\biggan-spectrum\447\img003877.jpg,dataset\big_gan\big\biggan-spectrum\820\img008021.jpg,dataset\coco\coco\coco2017\train_spectrum\img063157.jpg
dataset\coco\coco\coco2017\train_spectrum\img068660.jpg,dataset\coco\coco\coco2017\train_spectrum\img143875.jpg,dataset\big_gan\big\biggan-spectrum\648\img006104.jpg
dataset\big_gan\big\biggan-spectrum\57\img005232.jpg,dataset\big_gan\big\biggan-spectrum\582\img005370.jpg,dataset\coco\coco\coco2017\train_spectrum\img130781.jpg
dataset\big_gan\big\biggan-spectrum\402\img003383.jpg,dataset\big_gan\big\biggan-spectrum\361\img002928.jpg,dataset\coco\coco\coco2017\train_spectrum\img090664.jpg
dataset\big_gan\big\biggan-spectrum\792\img007700.jpg,dataset\big_gan\big\biggan-spectrum\143\img000500.jpg,dataset\coco\coco\coco2017\train_spectrum\img096294.jpg
dataset\coco\coco\coco2017\train_spectrum\img079438.jpg,dataset\coco\coco\coco2017\train_spectrum\img073443.jpg,dataset\big_gan\big\biggan-spectrum\697\img006649.jpg
dataset\coco\coco\coco2017\train_spectrum\img058253.jpg,dataset\coco\coco\coco2017\train_spectrum\img145589.jpg,dataset\big_gan\big\biggan-spectrum\531\img004812.jpg
dataset\coco\coco\coco2017\train_spectrum\img069220.jpg,dataset\coco\coco\coco2017\train_spectrum\img126680.jpg,dataset\big_gan\big\biggan-spectrum\431\img003701.jpg
dataset\coco\coco\coco2017\train_spectrum\img158198.jpg,dataset\coco\coco\coco2017\train_spectrum\img089251.jpg,dataset\big_gan\big\biggan-spectrum\249\img001678.jpg
dataset\big_gan\big\biggan-spectrum\352\img002821.jpg,dataset\big_gan\big\biggan-spectrum\353\img002830.jpg,dataset\coco\coco\coco2017\train_spectrum\img099813.jpg
dataset\coco\coco\coco2017\train_spectrum\img095234.jpg,dataset\coco\coco\coco2017\train_spectrum\img147542.jpg,dataset\big_gan\big\biggan-spectrum\156\img000645.jpg
